id,name
16753,Cambridge Place Mini-Park
16754,Cambridge School Park
16766,Camino Corto Open Space
16774,Camp Evers Fishing Park
16787,Campus Park
16802,Canebrake Ecological Reserve
16820,Canyon Oaks Open Space Access
16836,Capitol
16850,Carl Coleman Courts
16851,Carl E. Hall Park
16867,Carmel Creek Neighborhood Park
16881,Carnadero Preserve
16882,Carnation Park
16883,Carnegie Community Center & City Park
16884,Carnegie Park
16886,Carney Park
16905,Carr Park
16906,Carr Park
16914,Carrizo Plain National Monument
16927,Carver Park
16982,Cawson Park
17016,cemetery name unknown 2
17018,Centennial Park
17037,Center Park
17038,Center Park
17065,Central Park
17078,Century Park
17086,Cerritos Iron Wood Nine GC
17105,Cesar E. Chavez Plaza
17226,Christian Valley Park
17227,Christie Park
17242,Chula Vista Open Space
17265,Circle Park
17294,City Hall Park
17295,City Hall Park
17296,City Hall Park
17309,City of El Cajon Open Space
17320,City of Los Angeles Flood Control
17331,City of San Diego Open Space
17332,City of San Diego Water Resource Parkland
17335,City of Wheatland Open Space
17337,City Open Space
17377,Clairemont Open Space
17399,Clay Park
17473,Coe Park
17509,College Park
17520,Collier Park
17590,Connecticut Friendship Garden
17604,Consumnes River Preserve
17605,Conte Gardens Park
17624,Cooper Gulch Park
17625,Cooper Park
17647,Coronado Landing Park
17672,Costa Park Site
17687,Cottonwood Park
17688,Cottonwood Park
17697,Country Heights Park
17720,Courthouse Square
17766,Creekbridge Neighborhood Park
17779,Creekside Park
17780,Creekside Park
17797,Crescenta Valley Park
17799,Cresent Park
17871,Cypress Canyon Open Space
17872,Cypress Community Park
17874,Cypress Hollow
17896,Dales Lake Ecological Reserve
17926,Dario Vasquez Park
17964,Dayton Playground
18000,Deer Peak Park
18021,Del Aire Park
18022,Del Amo Park
18023,Del Campo Park
18051,Del Rey Park
18052,Del Rey Park
18064,Delaware Greenbelt
18065,Delevan National Wildlife Refuge
18066,Delhi Park
18070,Delta Gardens Park
18072,Delta Meadows Park
18096,Department of Forestry
18101,Depot Park
18103,Dept Of Transportation/Paul Kenny
18106,Des Park
18123,DeTurk Park
18124,DeVaul Property
18151,Dick Clark Open Space
18240,Doug York Plaza
18250,Dovecreek Park
18251,Dovehill Park
18253,Dow Alexander Park
18265,Dr Ralph Allen Park
18292,Dublin Hills Regional Park
18294,Duboce Park
18330,E L Walter Park
18333,E.L. Pete Peterson Park
18334,Eader Park
18335,Eagan Family Park
18346,Eagle Rock Hillside Park
18351,Earl Johnson Park
18378,East Oak Park
18379,East Portal Park
18380,East Rancho Dominguez Park
18381,East Side Community Park
18382,East Side Community Park
18390,Easter Bowl
18410,Eaton Park
18464,Eel River Wildlife Area
18479,El Cajon Plaza Park
18511,El Granada Park
18512,El Marino Park
18527,El Pescadero Park
18528,El Pescadero Park
18529,El Portal Soccer Field
18553,Eldorado Pocket Park
18556,Eleanor Pardee Park
18567,Elkhorn Park
18568,Elkhorn Park
18570,Elkhorn Slough
18579,Elkhorn Slough / Porter Preserve - ESF
18580,Elkhorn Slough / Sandholdt - ESF
18592,Ellis Lake Park
18593,Ellis Park
18595,Elm Park
18655,Encinitas holding 28
18656,Encinitas holding 29
18667,Encinitas Viewpoint Park
18688,Environmental Trust Preserve
18689,Epson Park
18727,Esther Clark Park
18728,Esther Staley Park
18759,Evelyn Dutra Park
18776,Exposition Grounds
18792,Fairchild Park
18794,Fairfax Youth Center
18811,Fairmount Park Golf Course
18841,Famosa Slough
18855,Fay Ave. Bike Path and Right of Way
18867,Felipe Garza Park
18917,Firwood Park
18929,Fitzgerald Park
18959,Floral Park
18961,Florence Keller Park
18962,Flores Park
18977,Foothill Park
19004,Forster Ranch Community Park
19006,Fort Lots-o-Fun Park
19027,Fourth Avenue Park
19066,Franklin Park
19067,Franklin Park
19068,Franklin Square
19082,Freedom Lake Park
19096,Fremont Canyon
19097,Fremont Community Garden
19107,French Park
19167,Gabrielson Park
19168,Gadwell Park
19186,Gansberger Park
19247,Gee
19289,Gibbs Park
19321,Glen Hall Park
19344,Glider Hill Open Space
19374,Golden View Park
19413,Graceada Park
19419,Granada Park
19450,Grattan Playground
19470,Greenacres Community Center
19476,Greenfair Park
19521,Griset Park
19522,Grissom Park
19524,Grizzly Island Wildlife Area
19550,Guadalupe holding 5
19551,Guadalupe holding 6
19552,Guadalupe holding 7
19553,Guadalupe holding 8
19560,Gualala Point
19601,Halcyon Park
19602,Hale Park
19610,Hallmark Park
19645,Hanns Park
19646,Hans Christian Andersen Park
19648,Hansen Park
19665,Harbor Rest Memorial Park
19696,Harris Park
19712,Hartman Ball Field
19728,Harvey Park
19772,Healdsburg Rec Park
19797,Helen Keller Park
19799,Helen Putnam Park
19800,Helen Putnam Park
19801,Helen Putnam Regional Park
19802,Helen Wills Playground
19822,Henry Alvarez Memorial Park
19823,Henry Boisseranc Park
19824,Henry Glaves Jr Park
19838,Heritage Oak Park
19894,Hickey Park
19911,Hidden Palms Ecological Reserve
19948,Highlands Ranch Park
19949,Highlands Recreation Center
19961,Hillbrook Park
19986,Hilltop Park
20003,Hinojosa Park
20004,Hinton Park
20017,Hobert Park
20057,Holt Park
20058,Holyoke Nature Area
20059,Homecoming Park
20065,Honda Valley Park
20066,Honda Valley Park - Community Environmental Council
20071,Hood-Franklin Drainage
20079,Hoover Park
20108,Houghton-Schreiber Park
20127,Hoyt Park
20158,Huntington Parkette
20211,Indian Valley Wildlife Area
20212,Indian Village Park
20214,Indio's Municipal Golf Course
20238,Irvine holding 1
20257,Irvine holding 27
20301,Jack Bulik Park
20328,Jacob Park
20348,James Mangan Park
20349,James Marshall Park
20371,Jastro Park
20372,Jaycee Tot Lot
20374,Jean Woodard Park
20375,Jeannie Davis Park
20377,Jeff Roddy Park
20378,Jeff Thornton Park
20388,Jenni Park
20389,Jennings Park
20413,Jim Raymond Park
20430,John Beat Park
20444,John H Friend
20458,John Muir Park
20473,Johnny Carson Park
20483,Johnston Park
20488,Joost & Baden Mini Park
20501,Joseph Tiago Park
20507,Joshua Tree Park and Recreation District 1
20508,Joslyn Park
20509,Joy Park
20558,Kathleen Norris Memorial Park
20559,Katz
20578,Kelloch-Velasco Park
20582,Kellogg Park
20592,Kelseyville County Park
20610,Kenneth Way Drainage
20649,King City Cemetery
20651,King City Park
20655,King Park
20667,Kingsburg Cemetery
20698,Knoll Park
20726,Krueger Play Fields
20765,La Jolla Hermosa Park
20771,La Loma Park
20786,La Paz Sports Park
20787,La Pintoresca Park
20788,La Placita Mini Park
20789,La Plata Park
20792,La Plaza Park
20798,La Puente Park
20834,Lafayette Square
20835,Lafayette Square
20837,Lafferty Ranch
20849,Laguna Community Park
20852,Laguna de Santa Rosa Wetlands Preserve
20874,Laird Park
20876,Lake Berryessa Wildlife Area
20882,Lake Dalwigk Park
20899,Lake holding 13
20921,Lake holding 33
20941,Lake holding 6
20942,Lake holding 7
20976,Lakeside Linkage Preserve
20993,Lambert Park
20994,Lamont Park
21004,Landels-Hill Big Creek Reserve
21040,Larsson Street Parkette
21055,Las Juntas Park
21057,Las Lomas Park
21068,Las Trampas/Diablo Regional Trail
21069,Las Trampas/Diablo Regional Trail
